Step,AgentID,Vote
0,Candidate_0,
0,Candidate_1,
0,0,yes
0,1,yes
0,2,yes
0,3,yes
0,4,yes
0,5,yes
0,6,yes
0,7,yes
0,8,yes
0,9,yes
0,10,yes
0,11,yes
0,12,yes
0,13,yes
0,14,yes
0,15,yes
0,16,yes
0,17,yes
0,18,yes
0,19,yes
0,20,yes
0,21,yes
0,22,yes
0,23,yes
0,24,yes
0,25,yes
0,26,yes
0,27,yes
0,28,yes
0,29,yes
0,30,yes
0,31,yes
0,32,yes
0,33,yes
0,34,yes
0,35,yes
0,36,yes
0,37,yes
0,38,yes
0,39,yes
0,40,yes
0,41,yes
0,42,yes
0,43,yes
0,44,yes
0,45,yes
0,46,yes
0,47,yes
0,48,yes
0,49,yes
0,50,yes
0,51,yes
0,52,yes
0,53,yes
0,54,yes
0,55,yes
0,56,yes
0,57,yes
0,58,yes
0,59,yes
0,60,yes
0,61,yes
0,62,yes
0,63,yes
0,64,yes
0,65,yes
0,66,yes
0,67,yes
0,68,yes
0,69,yes
0,70,yes
0,71,yes
0,72,yes
0,73,yes
0,74,yes
0,75,yes
0,76,yes
0,77,yes
0,78,yes
0,79,yes
0,80,yes
0,81,yes
0,82,yes
0,83,yes
0,84,yes
0,85,yes
0,86,yes
0,87,yes
0,88,yes
0,89,yes
0,90,yes
0,91,yes
0,92,yes
0,93,yes
0,94,yes
0,95,yes
0,96,yes
0,97,yes
0,98,yes
0,99,yes
0,100,yes
0,101,yes
0,102,yes
0,103,yes
0,104,yes
0,105,yes
0,106,yes
0,107,yes
0,108,yes
0,109,yes
0,110,yes
0,111,yes
0,112,yes
0,113,yes
0,114,yes
0,115,yes
0,116,yes
0,117,yes
0,118,yes
0,119,yes
0,120,yes
0,121,yes
0,122,yes
0,123,yes
0,124,yes
0,125,yes
0,126,yes
0,127,yes
0,128,yes
0,129,yes
0,130,yes
0,131,yes
0,132,yes
0,133,yes
0,134,yes
0,135,yes
0,136,yes
0,137,yes
0,138,yes
0,139,yes
0,140,yes
0,141,yes
0,142,yes
0,143,yes
0,144,yes
0,145,yes
0,146,yes
0,147,yes
0,148,yes
0,149,yes
0,150,yes
0,151,yes
0,152,yes
0,153,yes
0,154,yes
0,155,yes
0,156,yes
0,157,yes
0,158,yes
0,159,yes
0,160,yes
0,161,yes
0,162,yes
0,163,yes
0,164,yes
0,165,yes
0,166,yes
0,167,yes
0,168,yes
0,169,yes
0,170,yes
0,171,yes
0,172,yes
0,173,yes
0,174,yes
0,175,yes
0,176,yes
0,177,yes
0,178,yes
0,179,yes
0,180,yes
0,181,yes
0,182,yes
0,183,yes
0,184,yes
0,185,yes
0,186,yes
0,187,yes
0,188,yes
0,189,yes
0,190,yes
0,191,yes
0,192,yes
0,193,yes
0,194,yes
0,195,yes
0,196,yes
0,197,yes
0,198,yes
0,199,yes
0,200,yes
0,201,yes
0,202,yes
0,203,yes
0,204,yes
0,205,yes
0,206,yes
0,207,yes
0,208,yes
0,209,yes
0,210,yes
0,211,yes
0,212,yes
0,213,yes
0,214,yes
0,215,yes
0,216,yes
0,217,yes
0,218,yes
0,219,yes
0,220,yes
0,221,yes
0,222,yes
0,223,yes
0,224,yes
0,225,yes
0,226,yes
0,227,yes
0,228,yes
0,229,yes
0,230,yes
0,231,yes
0,232,yes
0,233,yes
0,234,yes
0,235,yes
0,236,yes
0,237,yes
0,238,yes
0,239,yes
0,240,yes
0,241,yes
